1;After checking the OSPF neighbor state, the administrator discovers that the router has established a TWOWAY state with the peering router.What can be understood from this information? ;The routers are configured using the same process ID;The routers are configured using the same area ID;The routers are configured using wrong router ID;The routers are considered DROthers in a broadcast network;;;;2;3
2;"An administrator currently manages AR2200 devices in the network through
a single password, however the company wishes to introduce another two administrators and provide unique user credentials and privilege levels for telnet access to the network devices.What action can be taken?";Configure three users under the AAA-view, and assign each a different password.;The authentication mode must be changed to AAA.;Each administrator must be assigned a privilege level.;A public IP address must be assigned to each user for telnet access;;0;1;2;
3;Which of the following authentication methods are supported for Telnet users?;Password authentication;AAA local authentication;MD5 authentication;No authentication;;0;1;;3
4;Which authentication modes does AAA support?;None;Local;Radius;.802.1X;;0;1;2;
5;"A user accesses a server supporting AAA, for which the authorization mode on the AAA server has been configured using the command ""authorization-mode hwtacacs if-authenticated"".Which of the following statements regarding this command are true?";If the hwtacacs server fails to respond, the user will be authenticated using local authentication.;.If the hwtacacs server fails to respond, the user will be authenticated using remote authentication.;If the hwtacacs server fails to respond, the user will bypass authentication.;The hwtacacs server will authorize the user.;;0;1;;3
6;"[RTA]acl 2002 
[RTA-acl-basic-2002]rule permit source 20.1.1.1 0 
[RTA-acl-basic-2002]rule permit source 30.1.1.1 0
 Refer to the configuration output. A network administrator configured the ACL on router RTA, as shown.Which of the following statements regarding the rule order are correct?";The rule-number of the first rule is 1;The rule-number of the first rule is 5;The rule-number of the second rule is 2;The rule-number of the second rule is 10;;;1;;3
7;Which of the following statements about collision domains and broadcast domains are correct?;Devices connected to the same hub form a collision domain;Devices connected to the same hub form a broadcast domain;Devices connected to the same bridge form a collision domain;Devices connected to the same bridge form a broadcast domain;Devices connected to the same router form a broadcast domain;0;1;;3
8;Which of the following are routed protocols?;.IP;OSPF;BGP;IPX;;0;;;3
9;Which of the following statements regarding the routing table are correct?;.The next hop in the routing table is redundant because the outgoing interface can be used for packet forwarding.;The routes from generated by different protocols have different preferences.;The metrics of different routing protocols are comparable.;The metrics of different routing protocols are not comparable;;;1;;3
10;Which of the following problems are caused by routing loops?;.Slow convergence;Packets circulate between routers;.Router restarting;.Inconsistency of routing information;;0;1;;3
11;The administrator cannot use telnet to manage the AR2200. The administrator is able to verify connectivity to the router and has been informed that other administrators have no difficulties using telnet.Which statements describe the possible reasons for this problem?;The user’s status has been blocked;The user’s privilege level has been changed to 0.;The user has been deleted.;The telnet service in the AR2200 router has been disabled.;;0;;2;
12;On Huawei VRP platform, which of the following can be used to invoke the history command saved by the command line interface?;Up cursor key;.Left cursor key;.Ctrl+P;Ctrl+U;;0;;2;
