370; On the network shown in the figure, which router is elected as the BDR?;Router A;Router B;Router C;No BDR;;2
387; OSPF allows for “multiple” processes. By default, OSPF selects a process whose number is ().;0;1;10;100;;1
271; What is the number range of an advanced ACL?;2000-2999;3000-3999;4000-4999;6000-6031;;1
367; Which of the following port states is not included in Rapid Spanning Tree Protocol (RSTP)?;Forwarding;Learning;"Discarding";Blocking;;3
388;As shown in the following figure, the router configuration information is as follows. Which of the following statements is/are correct? Router A interface GigabitEthernet0/0/0.100 dot Iq termination vid 200 ip address 10.0.12.1 255.255.255.0 arp broadcast enable  Router B interface GigabitEthernet0/0/0.200 dot Iq termination vid 200 ip address 10.0.12.2 255.255.255.0 arp broadcast enable;The sub-interface numbers of Router A and Router B are different. Therefore, Router A and Router B cannot communicate;10.0.12.1 can ping 10.0.12.2.;The sub-interface of Router A cannot learn the MAC address of the sub-interface of Router B.;. The sub-interface of Router B cannot learn the MAC address of the sub-interface of Router A;;1
33;[Huawei]ip pool pool1Info: It's successful to create an TP address pool[Huawei-ip-pool-pool1]network 10.10.10.0 mask 255.255.255.0[Huawei-ip-pool-pool1]gateway-list 10.10.10.1Refer to the configuration output. The administrator wishes to configure the DHCP server pool in order to assign an IP address to the customers terminal device.Which command should be included in the configuration to provide the minimal lease period for IP addresses?;dhcp select relay;lease day 1;lease 24;lease 0;;1
91;[Huawei]rip 1[Huawei-rip-1]version 2Refer to the command output. An administrator wishes to configure RIP. Which other command needs to configured for RIP routes to be advertised?;import-route GigabitEthernet 0/0/1;network 192.168.1.0 0.0.0.255;network GigabitEthernet 0/0/1;network 192.168.1.0;;3
10;[R1]display interface GigabitEthernet0/0/0GigabitEthernet0/0/0 current state - Administratively DOWNLine protocol current state : DOWNRefer to the display output. What can be determined based on the output of the displaycommand?;Interface Gigabit Ethernet 0/0/0 is connected to a wrong cable;Interface Gigabit Ethernet 0/0/0 is not associated with an IP address;Interface Gigabit Ethernet 0/0/0 is not associated with a dynamically defined route.;Interface Gigabit Ethernet 0/0/0 has been manually shut down by an administrator.;;3
34;"[Router] ip pool pool1[Router-ip-pool-pool1] network 10.10.10.0 mask 255.255.255.0[Router-ip-pool-pool1] gateway-list 10.10.10.1[Router-ip-pool-pool1] quit[Router] ip pool pool2.[Router-ip-pool-pool2] network 10.20.20.0 mask 255.255.255.0[Router-ip-pool-pool2] gateway-list 10.20.20.1[Router-ip-pool-pool2] quit[Router] interface GigabitEthernet 0/0/1[Router-GigabitEthernet0/0/1] ip address 10.10.10.1 24[Router-GigabitEthernet0/0/1] dhcp select globalRefer to the configuration output. Following configuration, a host is connected to the interface Gigabit Ethernet 0/0/1 of the router. Which IP address will the client obtain?<choice ident=""A""><choice ident=""B""><choice ident=""C""><choice ident=""D"">";An IP address from network 10.10.10.0/24 will be assigned.;An IP address from network 10.20.20.0/24 will be assigned.;The host will be unable to obtain an IP address.;An IP address may be assigned from either 10.10.10.0/24 or 10.20.20.0/24.;;0
364;[Router] ip pool pool1[Router-ip-pool-pool1] network 10.10.10.0 mask 255.255.255.0[Router-ip-pool-pool1] gateway-list 10.10.10.1[Router-ip-pool-pool1] quit[Router] ip pool pool2.[Router-ip-pool-pool2] network 10.20.20.0 mask 255.255.255.0[Router-ip-pool-pool2] gateway-list 10.20.20.1[Router-ip-pool-pool2] quit[Router] interface GigabitEthernet 1/0/0[Router-GigabitEthernet1/0/0] ip address 10.10.10.1 24[Router-GigabitEthernet1/0/0] dhcp select globalAfter an administrator performs the preceding configurations on the router, which of the following IP addresses can a host connected to G1/0/0 on the router obtain?;IP address on the 10.10.10.0/24 network segment;Ip address on the 10.20.20.0/24 network segment;The host cannot obtain an IP address.;IP address on the 10.10.10.0/24 or 10.20.20.0/24 network segment.;;0
454;"[RTA-GigabitEthernet0/0/0] nat outbound 2000 address-group 1Refer to the configuration output. What does the value ""2000"" refer to?";It represents the ACL number.;It represents the NAT number.;It represents the translated port number.;It represents the number of bytes that can be translated before the address is returned to the public address pool;;0
64;"[RTA-GigabitEthernet0/0/0]nat outbound 2000 address-group 1Refer to the configuration output. What does the value ""2000"" refer to?";It represents the ACL number.;It represents the NAT number.;It represents the translated port number.;It represents the number of bytes that can be translated before the address is returned to the public address pool.;;0
